0.14,1,0.16666667,0.33333334,0.5949367,0,0,0,0,0,0,0.14673758,0.13237514,0.19364657,0.15068205,0.14445339,0.14306971,0.01418848,0.00570785,0.005594616,0.023578344,0.02,0.012391574,0
0.03,0.5,0.16666667,0.33333334,0.721519,0.2857143,0,0,0.2857143,0.42857143,0.2857143,0.0238017,0.024369596,0.038786735,0.031500045,0.029491862,0.027835086,0.003459962,0.002834366,0.002313513,0,0,0.002798017,1
0.05,1,0.33333334,0.6666667,0.5822785,0,0,0,0,0,0,0.048466012,0.045539778,0.0651047,0.051981524,0.05098628,0.050284714,0.004256544,0.001711377,0.002790054,0.009431338,0.006666667,0.007434944,0
0.02,0.5,0.5,0.33333334,0.5822785,-0.14285715,0.25,0.2857143,-0.14285715,-0.14285715,0,0.001903555,0.001677963,0,0.000437423,0.001261903,0.000811094,0,0,0.000435248,0.005517332,0,0,1
0.05,1,0.33333334,0.6666667,0.34177214,0.2857143,0.25,0.2857143,0.2857143,0,0,0.020124188,0.022445679,0.03398135,0.02553315,0.024795858,0.024300586,0.006080777,0.001629883,0,0.004244102,0.003,0.002493185,1
0.08,0.5,0.16666667,0.6666667,0.34177214,-0.14285715,-0.125,-0.14285715,-0.2857143,-0.2857143,-0.2857143,0.001347833,0.000181923,0,0,0,0,0.00036282,0,0,0,0,0,0
0.08,1,0.33333334,0.6666667,0.36708862,0,0,0.2857143,0.2857143,0.2857143,0.2857143,0.051006157,0.054915436,0.0762641,0.06360463,0.059537023,0.07203139,0.012753417,0,0.005580108,0,0.05,0.006443618,0
0.05,1,0.5,0.6666667,0.278481,0,0,0,0,0,0,0.046342656,0.04294407,0.05560413,0.03644741,0.025321111,0.025054488,0.003581578,0.00110995,0.001118254,0.003961162,0.003316667,0.002240397,1
0.06,0.5,0.16666667,0.6666667,0.3164557,0,0,0,0,0,0,0.025090434,0.03527483,0.03672335,0.031308252,0.03286988,0.033256937,0.022296183,0.001629883,0.003348065,0.014147006,0.006666667,0.00495663,0
0.11,0.5,0.33333334,0.33333334,0.34177214,0.14285715,0.25,0.2857143,0.2857143,0.2857143,0.2857143,0.048373736,0.049408954,0.071803816,0.05430884,0.05462207,0.053721465,0.006080777,0.001629883,0,0.014147006,0.006666667,0.007434944,0
