77479,77057,78102,58501,51042,3631,3177,2600,3000,1691
326,326,326,1458,952,326,326,1458,952,0
13686,1992,604,0,3960,1992,604,0,3960,0
336722,276725,260932,267917,217738,11007,10507,13035,9511,6114
231759,233357,236292,237176,236379,10000,9000,10021,10000,10000
1825,2017,2476,5797,1542,2017,2476,5797,0,1256
12136,7938,620,16022,2581,8638,620,16032,2856,4197
36159,38241,39121,40400,40000,3000,1800,2000,0,0
205736,199379,132963,145115,153040,7758,5001,15000,10800,5600
692,-6,890,14137,18067,0,896,14337,7022,12000
0,0,2500,2500,0,0,5000,0,0,0
27370,20750,14898,7524,7524,1328,2000,150,0,0
0,0,994,3342,1240,0,994,3342,1240,700
284099,286067,290374,5329,5029,11000,10005,5336,5036,38592
2400,2400,2400,2400,2400,0,0,0,0,0
2285,0,0,0,0,0,0,0,0,0
50834,52163,51060,54200,52734,2460,0,4600,0,4200
400134,398857,404205,360199,356656,17000,15029,30000,12000,12000
157607,155693,155290,147604,146719,7194,6760,5018,5370,5294
0,2426,3367,2898,11768,2426,3367,2898,11768,3983
23799,9000,11818,12889,9043,9000,7000,5000,4043,5000
0,0,0,0,0,0,0,0,0,0
11471,13270,14245,15199,20980,2000,1500,1219,6000,1000
30961,31860,35254,30250,21436,1700,4000,0,1000,5000
80903,83900,86897,90399,85698,5000,5000,5600,3000,4000
13185,5070,6815,6068,7798,1255,2000,0,2000,1000
1115,1211,2206,62507,63226,1211,2455,64395,1917,4160
113270,112012,114535,115448,117426,6000,6000,4106,4312,5097
176380,188744,194534,199524,203514,15000,10000,7841,6930,7800
107934,123579,118117,77943,78834,19000,8,3000,3000,3500
22824,6540,6686,-14795,-23003,6573,6793,41,42,35602
59703,59837,48187,42658,40587,2047,2168,1642,1563,1600
18472,20546,24956,24262,24782,2690,5100,0,1058,2000
71201,70686,70195,71005,71135,2691,21000,2500,2800,2800
48619,48647,49859,50700,46174,2100,2300,2025,1800,2000
2186,2186,2184,2542,2186,2196,2194,2554,2196,2119
